William_Herbert_Perry_Faunce;United_States
United_States;Continental_United_States
Continental_United_States;U.S._state
U.S._state;United_States
Church_of_England;List_of_Christian_denominations
List_of_Christian_denominations;Christian_denomination
Christian_denomination;Religion
Religion;Social_system
Social_system;Sociology
Sociology;Social_science
Social_science;Branches_of_science
Branches_of_science;Science
Science;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Beetles;Insect
Insect;Pancrustacea
Pancrustacea;Clade
Clade;Organism
Organism;Biology
Biology;Science
Science;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Municipalities_of_Germany;Germany
Germany;Central_Europe
Central_Europe;Europe
Europe;Eurasia
Eurasia;Continent
Continent;Landmass
Landmass;Region
Region;Geography
Geography;Solar_System
Solar_System;Gravity
Gravity;List_of_natural_phenomena
List_of_natural_phenomena;Weather
Weather;Atmosphere
Atmosphere;Gas
Gas;State_of_matter
State_of_matter;Physics
Physics;Natural_science
Natural_science;Branches_of_science
Branches_of_science;Science
Science;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Kelly_Chen;Cantopop
Cantopop;Pop_music
Pop_music;Popular_music
Popular_music;Music
Music;The_arts
The_arts;Creativity
Creativity;Psychology
Psychology;Scientific
Scientific;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Lindi_Ortega;Country_music
Country_music;Popular_music
Popular_music;Music
Music;The_arts
The_arts;Creativity
Creativity;Psychology
Psychology;Scientific
Scientific;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Negeri_Sembilan;States_and_federal_territories_of_Malaysia
States_and_federal_territories_of_Malaysia;Administrative_division
Administrative_division;Sovereign_state
Sovereign_state;Polity
Polity;Political
Political;Decision-making
Decision-making;Psychology
Psychology;Scientific
Scientific;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Zambia;Landlocked_country
Landlocked_country;Country
Country;Political_entity
Political_entity;Political
Political;Decision-making
Decision-making;Psychology
Psychology;Scientific
Scientific;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Province_of_New_York;Proprietary_colony
Proprietary_colony;English_overseas_possessions
English_overseas_possessions;Kingdom_of_England
Kingdom_of_England;Sovereign_state
Sovereign_state;Polity
Polity;Political
Political;Decision-making
Decision-making;Psychology
Psychology;Scientific
Scientific;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Communes_of_France;Administrative_divisions
Administrative_divisions;Sovereign_state
Sovereign_state;Polity
Polity;Political
Political;Decision-making
Decision-making;Psychology
Psychology;Scientific
Scientific;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Autobiographical_novel;Novel
Novel;Narrative
Narrative;Nonfiction
Nonfiction;Document
Document;Writing
Writing;Communication
Communication;Academic_discipline
Academic_discipline;Knowledge
Knowledge;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Cantemir_District;Moldova
Moldova;Landlocked_country
Landlocked_country;Country
Country;Political_entity
Political_entity;Political
Political;Decision-making
Decision-making;Psychology
Psychology;Scientific
Scientific;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Brussels_metro;Rapid_transit
Rapid_transit;Public_transport
Public_transport;Transport
Transport;Motion
Motion;Physics
Physics;Natural_science
Natural_science;Branches_of_science
Branches_of_science;Science
Science;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Netherlands;Terminology_of_the_Low_Countries
Terminology_of_the_Low_Countries;Holland_
Holland_;Low_Countries
Low_Countries;Europe
Europe;Eurasia
Eurasia;Continent
Continent;Landmass
Landmass;Region
Region;Geography
Geography;Solar_System
Solar_System;Gravity
Gravity;List_of_natural_phenomena
List_of_natural_phenomena;Weather
Weather;Atmosphere
Atmosphere;Gas
Gas;State_of_matter
State_of_matter;Physics
Physics;Natural_science
Natural_science;Branches_of_science
Branches_of_science;Science
Science;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Elmer_Fudd;Cartoon
Cartoon;Illustration
Illustration;Poster
Poster;Typography
Typography;Typesetting
Typesetting;Written_language
Written_language;Language
Language;Communication
Communication;Academic_discipline
Academic_discipline;Knowledge
Knowledge;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Kumta;Town
Town;Human_settlement
Human_settlement;Geography
Geography;Solar_System
Solar_System;Gravity
Gravity;List_of_natural_phenomena
List_of_natural_phenomena;Weather
Weather;Atmosphere
Atmosphere;Gas
Gas;State_of_matter
State_of_matter;Physics
Physics;Natural_science
Natural_science;Branches_of_science
Branches_of_science;Science
Science;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
John_Nost;Flemish
Flemish;Low_Franconian
Low_Franconian;Dutch_language
Dutch_language;West_Germanic_languages
West_Germanic_languages;Germanic_languages
Germanic_languages;Indo-European_languages
Indo-European_languages;Language_family
Language_family;Language
Language;Communication
Communication;Academic_discipline
Academic_discipline;Knowledge
Knowledge;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Sverdlov;_Armenia
_Armenia;Lori_Province
Lori_Province;Provinces_of_Armenia
Provinces_of_Armenia;Armenia
Armenia;Landlocked_country
Landlocked_country;Country
Country;Political_entity
Political_entity;Political
Political;Decision-making
Decision-making;Psychology
Psychology;Scientific
Scientific;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Lagos_State;Geopolitical_zones_of_Nigeria
Geopolitical_zones_of_Nigeria;Subdivisions_of_Nigeria
Subdivisions_of_Nigeria;Federation
Federation;Political_entity
Political_entity;Political
Political;Decision-making
Decision-making;Psychology
Psychology;Scientific
Scientific;Scientific_method
Scientific_method;Empirical_evidence
Empirical_evidence;Proposition
Proposition;Logic
Logic;Truth
Truth;Fact
Fact;Experience
Experience;Conscious
Conscious;Sentience
Sentience;Emotion
Emotion;Mental_state
Mental_state;Mind
Mind;Thought
Thought;Idea
Idea;Philosophy
Hurling;Team_sport
Team_sport;Sport
Sport;Competition
Competition;Rivalry
Rivalry;Social_group
